"","State","Count","Assets","GEOID","variable","estimate","fips","NPDensity","AssetDensity"
"1","Alabama",24709,56703976956,"01","totalpopulation",5086768,"01",4.8575048046225,11147.3487597626
"2","Alaska",5613,20185198385,"02","totalpopulation",735706,"02",7.6294063117604,27436.5009732148
"3","Arizona",28753,89665022721,"04","totalpopulation",7378838,"04",3.89668400363309,12151.6453838667
"4","Arkansas",15453,34997196949,"05","totalpopulation",3049391,"05",5.06756922939695,11476.7823965507
"5","California",190005,993545380411,"06","totalpopulation",39287377,"06",4.83628621987159,25289.1757169485
"6","Colorado",34231,116856249589,"08","totalpopulation",5862189,"08",5.83928631437847,19933.8932246981
"7","Connecticut",22609,149047518286,"09","totalpopulation",3624508,"09",6.23781213891651,41122.1380352864
"8","Delaware",8898,26388958504,"10","totalpopulation",1021191,"10",8.71335528809008,25841.3543636793
"9","Florida",105381,337284989884,"12","totalpopulation",22416077,"12",4.70113481498123,15046.5663498568
"10","Georgia",57825,173989975372,"13","totalpopulation",10940407,"13",5.28545236022755,15903.4280326134
"11","Hawaii",8926,36243295149,"15","totalpopulation",1445235,"15",6.17615820264524,25077.7867606306
"12","Idaho",9933,17578002208,"16","totalpopulation",1934262,"16",5.13529190978265,9087.7048755546
"13","Illinois",73083,387104762198,"17","totalpopulation",12694798,"17",5.75692500187872,30493.1801355169
"14","Indiana",42136,172056515098,"18","totalpopulation",6851073,"18",6.150277482082,25113.8055452044
"15","Iowa",29723,63594437057,"19","totalpopulation",3210507,"19",9.25803930656435,19808.222519683
"16","Kansas",17847,74147446590,"20","totalpopulation",2947197,"20",6.05558433996777,25158.6326227938
"17","Kentucky",21504,68399093402,"21","totalpopulation",4534824,"21",4.74197014040677,15083.0756390987
"18","Louisiana",22634,57520560554,"22","totalpopulation",4611961,"22",4.90767376393686,12472.0396711941
"19","Maine",10069,30623266117,"23","totalpopulation",1387817,"23",7.2552793343791,22065.7810914551
"20","Maryland",40489,179071707131,"24","totalpopulation",6206011,"24",6.52415859398251,28854.558448414
"21","Massachusetts",41673,528862954729,"25","totalpopulation",7044056,"25",5.91605177471616,75079.3228686711
"22","Michigan",53986,303993546733,"26","totalpopulation",10077761,"26",5.35694386878196,30164.7902478537
"23","Minnesota",38382,298325654104,"27","totalpopulation",5739445,"27",6.68740618648667,51978.1362316391
"24","Mississippi",15055,25511250906,"28","totalpopulation",2946779,"28",5.10896813096605,8657.33429822868
"25","Missouri",39995,182775728839,"29","totalpopulation",6191814,"29",6.45933485728092,29518.9307752139
"26","Montana",11676,21437953459,"30","totalpopulation",1116875,"30",10.4541689983212,19194.586197202
"27","Nebraska",14389,94527574102,"31","totalpopulation",1978707,"31",7.2719205016205,47772.3958635614
"28","Nevada",14953,23653047640,"32","totalpopulation",3184612,"32",4.69539146370107,7427.29338456302
"29","New Hampshire",8989,40955830335,"33","totalpopulation",1394868,"33",6.44433738532965,29361.7964818176
"30","New Jersey",50367,166564595107,"34","totalpopulation",9343809,"34",5.39041412340513,17826.1986206054
"31","New Mexico",10794,22060770283,"35","totalpopulation",2120246,"35",5.09091869528347,10404.8163670631
"32","New York",117854,646917088164,"36","totalpopulation",19852366,"36",5.93652162165457,32586.3974180206
"33","North Carolina",55243,234917364945,"37","totalpopulation",10730404,"37",5.14826841561604,21892.6859552539
"34","North Dakota",6324,21275172836,"38","totalpopulation",784841,"38",8.05768302114696,27107.6215895959
"35","Ohio",73967,309114412601,"39","totalpopulation",11810293,"39",6.26292675380704,26173.3059968114
"36","Oklahoma",21145,49083663465,"40","totalpopulation",4028634,"40",5.24867734323843,12183.6988579752
"37","Oregon",25829,87473727274,"41","totalpopulation",4254293,"41",6.07127905858858,20561.2841602588
"38","Pennsylvania",77743,458241349122,"42","totalpopulation",13018639,"42",5.97166877428585,35198.8674946744
"39","Rhode Island",6360,38932317189,"44","totalpopulation",1101801,"44",5.77236724236046,35335.162328769
"40","South Carolina",30142,51705623182,"45","totalpopulation",5296225,"45",5.69122346577043,9762.73160260374
"41","South Dakota",7006,25641198236,"46","totalpopulation",907428,"46",7.72072274604707,28257.0057745628
"42","Tennessee",37755,124141825310,"47","totalpopulation",7066383,"47",5.34290315144254,17567.9446344757
"43","Texas",140622,441394485008,"48","totalpopulation",30188424,"48",4.6581431346002,14621.3159391163
"44","Utah",11639,43867368956,"49","totalpopulation",3392331,"49",3.43097415906644,12931.3351073347
"45","Vermont",6395,15996358464,"50","totalpopulation",647106,"50",9.88246129691272,24719.8425976579
"46","Virginia",51016,239986081951,"51","totalpopulation",8705170,"51",5.86042547130039,27568.2246241027
"47","Washington",40609,182432374465,"53","totalpopulation",7816116,"53",5.19554725134581,23340.5408088877
"48","West Virginia",11100,23803303002,"54","totalpopulation",1778373,"54",6.24166021413955,13384.8765146569
"49","Wisconsin",38127,113269868965,"55","totalpopulation",5914872,"55",6.44595521255574,19150.0118624714
"50","Wyoming",5471,7926166385,"56","totalpopulation",582397,"56",9.39393575172949,13609.5590894184
